Interval, Ratio
1000, 0.359281
2000, 0.384106
3000, 0.407925
4000, 0.397086
5000, 0.386228
6000, 0.386189
7000, 0.388209
8000, 0.387674
9000, 0.386201
10000, 0.380293
11000, 0.385307
12000, 0.390397
13000, 0.388098
14000, 0.388855
15000, 0.387906
16000, 0.384739
17000, 0.386932
18000, 0.384876
19000, 0.382939
20000, 0.382574
21000, 0.379822
22000, 0.377994
23000, 0.378463
24000, 0.381327
25000, 0.381021
26000, 0.380553
27000, 0.380068
28000, 0.380812
29000, 0.380076
30000, 0.380395
31000, 0.378856
32000, 0.378898
33000, 0.379418
34000, 0.378884
35000, 0.378987
36000, 0.377714
37000, 0.377613
38000, 0.376494
39000, 0.377496
40000, 0.377677
41000, 0.375991
42000, 0.375996
43000, 0.376363
44000, 0.375055
45000, 0.376337
46000, 0.377521
47000, 0.377938
48000, 0.378969
49000, 0.380413
50000, 0.379384
51000, 0.380195
52000, 0.379842
53000, 0.379508
54000, 0.378978
55000, 0.379317
56000, 0.379796
57000, 0.378654
58000, 0.378747
59000, 0.379571
60000, 0.379128
61000, 0.378906
62000, 0.378270
63000, 0.379174
64000, 0.378977
65000, 0.378620
66000, 0.378756
67000, 0.378334
68000, 0.378562
69000, 0.379104
70000, 0.380588
71000, 0.380688
72000, 0.380665
73000, 0.380629
74000, 0.380137
75000, 0.379870
76000, 0.380329
77000, 0.379857
78000, 0.378802
79000, 0.378954
80000, 0.379658
81000, 0.379985
82000, 0.379491
83000, 0.379025
84000, 0.378923
85000, 0.378927
86000, 0.378663
87000, 0.378270
88000, 0.377429
89000, 0.377234
90000, 0.377755
91000, 0.377571
92000, 0.377560
93000, 0.377046
94000, 0.376668
95000, 0.376802
96000, 0.376932
97000, 0.377076
98000, 0.376765
99000, 0.376999
100000, 0.377124
101000, 0.376654
102000, 0.376446
103000, 0.375761
104000, 0.375554
105000, 0.374938
106000, 0.375260
107000, 0.375699
108000, 0.375548
109000, 0.374855
110000, 0.374761
111000, 0.374941
112000, 0.374612
113000, 0.374860
114000, 0.375046
115000, 0.374793
116000, 0.374533
117000, 0.374502
118000, 0.374528
119000, 0.374565
120000, 0.374336
121000, 0.374605
122000, 0.374586
123000, 0.374157
124000, 0.374249
125000, 0.374925
126000, 0.375391
127000, 0.375126
128000, 0.375271
129000, 0.375155
130000, 0.375226
131000, 0.375153
132000, 0.374574
133000, 0.374930
134000, 0.374150
135000, 0.374076
136000, 0.374289
137000, 0.374216
138000, 0.374221
139000, 0.374081
140000, 0.373588
141000, 0.372938
142000, 0.372525
143000, 0.372710
144000, 0.372433
145000, 0.372550
146000, 0.372797
147000, 0.373142
148000, 0.373290
149000, 0.372855
150000, 0.373149
151000, 0.373241
152000, 0.372985
153000, 0.372856
154000, 0.372806
155000, 0.372854
156000, 0.373154
157000, 0.373476
158000, 0.373416
159000, 0.373364
160000, 0.373587
161000, 0.373332
162000, 0.373376
163000, 0.373359
164000, 0.373693
165000, 0.373509
166000, 0.373451
167000, 0.373631
168000, 0.373761
169000, 0.373743
170000, 0.373709
171000, 0.373676
172000, 0.373596
173000, 0.373389
174000, 0.374305
175000, 0.374301
176000, 0.374609
177000, 0.374697
178000, 0.374985
179000, 0.375023
180000, 0.375069
181000, 0.375274
182000, 0.375114
183000, 0.374985
184000, 0.374947
185000, 0.375000
186000, 0.374993
187000, 0.374660
188000, 0.374507
189000, 0.374510
190000, 0.374745
191000, 0.374623
192000, 0.374545
193000, 0.374641
194000, 0.374843
195000, 0.374459
196000, 0.374299
197000, 0.374218
198000, 0.374018
199000, 0.374176
200000, 0.374632
201000, 0.374806
202000, 0.374828
203000, 0.374321
